"X--Kurve 1::[-I(TK1), cc1 capacitance=0]","Y--Kurve 1::[-I(TK1), cc1 capacitance=0]",,"X--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]","Y--Kurve 2::[-I(TK1), cc1 capacitance=8e-05]",,"X--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]","Y--Kurve 3::[-I(TK1), cc1 capacitance=0.00016]",,"X--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]","Y--Kurve 4::[-I(TK1), cc1 capacitance=0.00024]",,"X--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]","Y--Kurve 5::[-I(TK1), cc1 capacitance=0.00032]",,"X--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]","Y--Kurve 6::[-I(TK1), cc1 capacitance=0.0004]"
0.000311801,0.597123,,0.000311801,0.596369,,0.000311801,0.588964,,0.000311801,0.579921,,0.000311801,0.571692,,0.000311801,0.564644
0.000315404,0.598082,,0.000315404,0.596638,,0.000315404,0.589734,,0.000315404,0.580955,,0.000315404,0.572827,,0.000315404,0.565802
0.00032261,0.600005,,0.00032261,0.597472,,0.00032261,0.591318,,0.00032261,0.583011,,0.00032261,0.575077,,0.00032261,0.5681
0.00033,0.601994,,0.00033,0.598651,,0.00033,0.592999,,0.00033,0.585108,,0.00033,0.57736,,0.00033,0.570434
0.000331441,0.601982,,0.000331441,0.598856,,0.000331441,0.593285,,0.000331441,0.58547,,0.000331441,0.577759,,0.000331441,0.570845
0.000334323,0.601945,,0.000334323,0.599238,,0.000334323,0.593837,,0.000334323,0.586178,,0.000334323,0.578543,,0.000334323,0.571654
0.000340088,0.601871,,0.000340088,0.599856,,0.000340088,0.594832,,0.000340088,0.5875,,0.000340088,0.580031,,0.000340088,0.573206
0.00035,0.601743,,0.00035,0.600569,,0.00035,0.596245,,0.00035,0.589504,,0.00035,0.582362,,0.00035,0.575683
0.000351153,0.601897,,0.000351153,0.600649,,0.000351153,0.596405,,0.000351153,0.589733,,0.000351153,0.582631,,0.000351153,0.575971
0.000353459,0.602204,,0.000353459,0.600817,,0.000353459,0.596723,,0.000353459,0.590187,,0.000353459,0.583166,,0.000353459,0.576545
0.00035807,0.602819,,0.00035807,0.601192,,0.00035807,0.597358,,0.00035807,0.591081,,0.00035807,0.584218,,0.00035807,0.577676
0.000367294,0.604051,,0.000367294,0.602069,,0.000367294,0.598623,,0.000367294,0.592815,,0.000367294,0.586256,,0.000367294,0.579876
0.00038,0.605758,,0.00038,0.60347,,0.00038,0.600358,,0.00038,0.595098,,0.00038,0.588935,,0.00038,0.582781
0.000381845,0.603142,,0.000381845,0.603223,,0.000381845,0.60024,,0.000381845,0.595086,,0.000381845,0.588994,,0.000381845,0.582884
0.000385534,0.597958,,0.000385534,0.602367,,0.000385534,0.599809,,0.000385534,0.594923,,0.000385534,0.589007,,0.000385534,0.583004
0.000392913,0.587787,,0.000392913,0.598821,,0.000392913,0.597867,,0.000392913,0.593821,,0.000392913,0.588425,,0.000392913,0.582747
0.0004,0.578476,,0.0004,0.5937,,0.0004,0.594862,,0.0004,0.591912,,0.0004,0.587191,,0.0004,0.581944
0.000401476,0.579234,,0.000401476,0.592848,,0.000401476,0.594418,,0.000401476,0.5917,,0.000401476,0.587127,,0.000401476,0.581977
0.000404427,0.580457,,0.000404427,0.591305,,0.000404427,0.593573,,0.000404427,0.591287,,0.000404427,0.586995,,0.000404427,0.58203
0.00041033,0.582916,,0.00041033,0.58921,,0.00041033,0.592277,,0.00041033,0.590674,,0.00041033,0.586866,,0.00041033,0.582232
0.00042,0.586983,,0.00042,0.587968,,0.00042,0.59115,,0.00042,0.590233,,0.00042,0.587018,,0.00042,0.58282
0.000421181,0.587093,,0.000421181,0.587933,,0.000421181,0.591053,,0.000421181,0.590187,,0.000421181,0.587029,,0.000421181,0.582876
0.000423542,0.587259,,0.000423542,0.58787,,0.000423542,0.590863,,0.000423542,0.590096,,0.000423542,0.587048,,0.000423542,0.582983
0.000428264,0.58759,,0.000428264,0.58781,,0.000428264,0.590539,,0.000428264,0.589939,,0.000428264,0.587097,,0.000428264,0.583201
0.000437709,0.588252,,0.000437709,0.587899,,0.000437709,0.590082,,0.000437709,0.589724,,0.000437709,0.587239,,0.000437709,0.583651
0.00044,0.588414,,0.00044,0.587957,,0.00044,0.590007,,0.00044,0.58969,,0.00044,0.587282,,0.00044,0.583763
0.000441889,0.586707,,0.000441889,0.587713,,0.000441889,0.58972,,0.000441889,0.589454,,0.000441889,0.587117,,0.000441889,0.583659
0.000445667,0.583317,,0.000445667,0.586996,,0.000445667,0.589031,,0.000445667,0.588903,,0.000445667,0.586724,,0.000445667,0.5834
0.000453223,0.576626,,0.000453223,0.584399,,0.000453223,0.587022,,0.000453223,0.587348,,0.000453223,0.585575,,0.000453223,0.582577
0.00046,0.57082,,0.00046,0.581066,,0.00046,0.58461,,0.00046,0.5855,,0.00046,0.584176,,0.00046,0.581527
0.000461511,0.570097,,0.000461511,0.580294,,0.000461511,0.58406,,0.000461511,0.585087,,0.000461511,0.583871,,0.000461511,0.581305
0.000464533,0.568539,,0.000464533,0.578738,,0.000464533,0.582935,,0.000464533,0.584236,,0.000464533,0.583235,,0.000464533,0.580837
0.000470578,0.565441,,0.000470578,0.575629,,0.000470578,0.580603,,0.000470578,0.582441,,0.000470578,0.581873,,0.000470578,0.579814
0.00048,0.560677,,0.00048,0.570804,,0.00048,0.576789,,0.00048,0.579431,,0.00048,0.579531,,0.00048,0.578007
0.000481209,0.561626,,0.000481209,0.570405,,0.000481209,0.576465,,0.000481209,0.579193,,0.000481209,0.579372,,0.000481209,0.577914
0.000483627,0.563453,,0.000483627,0.569737,,0.000483627,0.575877,,0.000483627,0.578753,,0.000483627,0.579077,,0.000483627,0.577742
0.000488462,0.567134,,0.000488462,0.569154,,0.000488462,0.575085,,0.000488462,0.578119,,0.000488462,0.578662,,0.000488462,0.577533
0.000498134,0.574605,,0.000498134,0.570337,,0.000498134,0.57486,,0.000498134,0.577759,,0.000498134,0.578492,,0.000498134,0.577622
0.0005,0.576179,,0.0005,0.570891,,0.0005,0.575024,,0.0005,0.577835,,0.0005,0.57857,,0.0005,0.577728
0.000501934,0.580365,,0.000501934,0.572015,,0.000501934,0.575618,,0.000501934,0.578281,,0.000501934,0.578984,,0.000501934,0.578151
0.000505803,0.588882,,0.000505803,0.574787,,0.000505803,0.577131,,0.000505803,0.579404,,0.000505803,0.579993,,0.000505803,0.579144
0.00051354,0.606486,,0.00051354,0.58306,,0.00051354,0.581964,,0.00051354,0.58297,,0.00051354,0.583042,,0.00051354,0.581975
0.00052,0.622513,,0.00052,0.592457,,0.00052,0.587823,,0.00052,0.587341,,0.00052,0.586709,,0.00052,0.585276
0.000521547,0.62268,,0.000521547,0.594475,,0.000521547,0.589033,,0.000521547,0.588173,,0.000521547,0.587352,,0.000521547,0.585816
