"X--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]","Y--Kurve 1::[V(6), cc1 capacitance=0 | V(TK4)]",,"X--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]","Y--Kurve 2::[V(6), cc1 capacitance=8e-05 | V(TK4)]",,"X--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]","Y--Kurve 3::[V(6), cc1 capacitance=0.00016 | V(TK4)]",,"X--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]","Y--Kurve 4::[V(6), cc1 capacitance=0.00024 | V(TK4)]",,"X--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]","Y--Kurve 5::[V(6), cc1 capacitance=0.00032 | V(TK4)]",,"X--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]","Y--Kurve 6::[V(6), cc1 capacitance=0.0004 | V(TK4)]"
0.000392913,14.918,,0.000392913,14.7185,,0.000392913,14.7326,,0.000392913,14.7504,,0.000392913,14.7627,,0.000392913,14.7714
0.0004,14.917,,0.0004,14.7229,,0.0004,14.7331,,0.0004,14.7501,,0.0004,14.7622,,0.0004,14.7709
0.000401476,14.8665,,0.000401476,14.7239,,0.000401476,14.7332,,0.000401476,14.75,,0.000401476,14.7621,,0.000401476,14.7707
0.000404427,14.7992,,0.000404427,14.7259,,0.000404427,14.7334,,0.000404427,14.7498,,0.000404427,14.7618,,0.000404427,14.7704
0.00041033,14.7518,,0.00041033,14.7297,,0.00041033,14.7338,,0.00041033,14.7495,,0.00041033,14.7613,,0.00041033,14.7698
0.00042,14.7421,,0.00042,14.736,,0.00042,14.7345,,0.00042,14.7489,,0.00042,14.7604,,0.00042,14.7688
0.000421181,14.7497,,0.000421181,14.7368,,0.000421181,14.7346,,0.000421181,14.7488,,0.000421181,14.7603,,0.000421181,14.7687
0.000423542,14.7623,,0.000423542,14.7383,,0.000423542,14.7348,,0.000423542,14.7487,,0.000423542,14.7601,,0.000423542,14.7685
0.000428264,14.7732,,0.000428264,14.7415,,0.000428264,14.7352,,0.000428264,14.7485,,0.000428264,14.7597,,0.000428264,14.7681
0.000437709,14.7769,,0.000437709,14.7478,,0.000437709,14.7363,,0.000437709,14.7482,,0.000437709,14.7589,,0.000437709,14.7672
