X--Kurve 1::[-I(R1:2) | I(TK1)],Y--Kurve 1::[-I(R1:2) | I(TK1)],,X--Kurve 2::[V(1) | V(TK4)],Y--Kurve 2::[V(1) | V(TK4)]
0.00204168,0.694569,,0.00204168,14.8264
0.00204503,0.692498,,0.00204503,14.8269
0.00205174,0.688383,,0.00205174,14.8279
0.00206,0.683397,,0.00206,14.8292
0.00206134,0.677649,,0.00206134,14.8306
0.00206403,0.666324,,0.00206403,14.8334
0.0020694,0.645209,,0.0020694,14.8387
0.00208,0.606896,,0.00208,14.8483
0.00208107,0.605607,,0.00208107,14.8486
0.00208322,0.603041,,0.00208322,14.8492
0.00208752,0.597959,,0.00208752,14.8505
0.00209611,0.587986,,0.00209611,14.853
0.0021,0.58376,,0.0021,14.8541
0.00210172,0.581979,,0.00210172,14.8545
0.00210515,0.578383,,0.00210515,14.8554
0.00211203,0.571291,,0.00211203,14.8572
0.00212577,0.557493,,0.00212577,14.8606
0.00213,0.553749,,0.00213,14.8616
0.002132,0.550337,,0.002132,14.8624
0.002136,0.543563,,0.002136,14.8641
0.002144,0.530387,,0.002144,14.8674
0.00215,0.521229,,0.00215,14.8697
0.0021516,0.523388,,0.0021516,14.8692
0.0021548,0.527425,,0.0021548,14.8681
0.0021612,0.53564,,0.0021612,14.8661
0.00217,0.547376,,0.00217,14.8632
0.00217128,0.547362,,0.00217128,14.8632
0.00217384,0.546814,,0.00217384,14.8633
0.00217896,0.545721,,0.00217896,14.8636
0.00218408,0.544634,,0.00218408,14.8638
0.00219,0.543382,,0.00219,14.8642
0.00219102,0.542789,,0.00219102,14.8643
0.00219307,0.541603,,0.00219307,14.8646
0.00219717,0.53924,,0.00219717,14.8652
0.00220536,0.534562,,0.00220536,14.8664
0.00221,0.531992,,0.00221,14.867
0.00221164,0.532758,,0.00221164,14.8668
0.00221492,0.53427,,0.00221492,14.8664
0.00222147,0.537313,,0.00222147,14.8657
0.00223,0.541331,,0.00223,14.8647
0.00223131,0.540317,,0.00223131,14.8649
0.00223393,0.538239,,0.00223393,14.8654
0.00223918,0.534118,,0.00223918,14.8665
0.00224442,0.530084,,0.00224442,14.8675
0.00225,0.52585,,0.00225,14.8685
0.00225105,0.527792,,0.00225105,14.8681
0.00225315,0.531644,,0.00225315,14.8671
0.00225734,0.539474,,0.00225734,14.8651
0.00226573,0.55566,,0.00226573,14.8611
0.00227,0.564843,,0.00227,14.8588
0.00227168,0.567796,,0.00227168,14.8581
0.00227503,0.573482,,0.00227503,14.8566
0.00228174,0.585111,,0.00228174,14.8537
0.00229,0.600174,,0.00229,14.85
0.00229134,0.601729,,0.00229134,14.8496
0.00229403,0.60407,,0.00229403,14.849
0.0022994,0.608792,,0.0022994,14.8478
0.00231,0.618284,,0.00231,14.8454
0.00231107,0.617957,,0.00231107,14.8455
0.00231322,0.617004,,0.00231322,14.8457
0.00231752,0.615106,,0.00231752,14.8462
0.00232611,0.611335,,0.00232611,14.8472
0.00233,0.609667,,0.00233,14.8476
0.00233172,0.609374,,0.00233172,14.8477
0.00233515,0.608781,,0.00233515,14.8478
0.00234203,0.607596,,0.00234203,14.8481
0.00235,0.606228,,0.00235,14.8484
0.00235137,0.605694,,0.00235137,14.8486
0.00235412,0.604623,,0.00235412,14.8488
0.00235962,0.602489,,0.00235962,14.8494
0.00237,0.598493,,0.00237,14.8504
0.0023711,0.597514,,0.0023711,14.8506
0.0023733,0.595513,,0.0023733,14.8511
0.0023777,0.591541,,0.0023777,14.8521
0.00238649,0.583714,,0.00238649,14.8541
0.0024,0.572073,,0.0024,14.857
0.00240176,0.57199,,0.00240176,14.857
0.00240528,0.571366,,0.00240528,14.8572
