"X--Kurve 1::[-I(L1:2), ll1 inductance=0 | I(TK1)]","Y--Kurve 1::[-I(L1:2), ll1 inductance=0 | I(TK1)]",,"X--Kurve 2::[-I(L1:2), ll1 inductance=0.000125 | I(TK1)]","Y--Kurve 2::[-I(L1:2), ll1 inductance=0.000125 | I(TK1)]",,"X--Kurve 3::[-I(L1:2), ll1 inductance=0.00025 | I(TK1)]","Y--Kurve 3::[-I(L1:2), ll1 inductance=0.00025 | I(TK1)]",,"X--Kurve 4::[-I(L1:2), ll1 inductance=0.000375 | I(TK1)]","Y--Kurve 4::[-I(L1:2), ll1 inductance=0.000375 | I(TK1)]",,"X--Kurve 5::[-I(L1:2), ll1 inductance=0.0005 | I(TK1)]","Y--Kurve 5::[-I(L1:2), ll1 inductance=0.0005 | I(TK1)]"
8.25e-05,0.758344,,8.25e-05,0.757701,,8.25e-05,0.757944,,8.25e-05,0.758028,,8.25e-05,0.75807
8.35e-05,0.758704,,8.35e-05,0.757697,,8.35e-05,0.757942,,8.35e-05,0.758026,,8.35e-05,0.758068
8.45e-05,0.759063,,8.45e-05,0.757693,,8.45e-05,0.75794,,8.45e-05,0.758024,,8.45e-05,0.758067
8.5e-05,0.759242,,8.5e-05,0.757691,,8.5e-05,0.757939,,8.5e-05,0.758024,,8.5e-05,0.758067
8.51e-05,0.759278,,8.51e-05,0.75769,,8.51e-05,0.757938,,8.51e-05,0.758024,,8.51e-05,0.758067
8.53e-05,0.759349,,8.53e-05,0.75769,,8.53e-05,0.757938,,8.53e-05,0.758023,,8.53e-05,0.758066
8.57e-05,0.759493,,8.57e-05,0.757688,,8.57e-05,0.757937,,8.57e-05,0.758023,,8.57e-05,0.758066
8.65e-05,0.759778,,8.65e-05,0.757686,,8.65e-05,0.757936,,8.65e-05,0.758022,,8.65e-05,0.758065
8.75e-05,0.760134,,8.75e-05,0.757683,,8.75e-05,0.757934,,8.75e-05,0.758021,,8.75e-05,0.758064
8.85e-05,0.76049,,8.85e-05,0.75768,,8.85e-05,0.757933,,8.85e-05,0.75802,,8.85e-05,0.758064
8.95e-05,0.760844,,8.95e-05,0.757678,,8.95e-05,0.757931,,8.95e-05,0.758019,,8.95e-05,0.758063
9e-05,0.761021,,9e-05,0.757677,,9e-05,0.757931,,9e-05,0.758018,,9e-05,0.758063
9.01e-05,0.761056,,9.01e-05,0.757677,,9.01e-05,0.757931,,9.01e-05,0.758018,,9.01e-05,0.758062
9.03e-05,0.761127,,9.03e-05,0.757676,,9.03e-05,0.757931,,9.03e-05,0.758018,,9.03e-05,0.758062
9.07e-05,0.761268,,9.07e-05,0.757676,,9.07e-05,0.75793,,9.07e-05,0.758018,,9.07e-05,0.758062
9.15e-05,0.76155,,9.15e-05,0.757675,,9.15e-05,0.757929,,9.15e-05,0.758017,,9.15e-05,0.758062
9.25e-05,0.761902,,9.25e-05,0.757674,,9.25e-05,0.757929,,9.25e-05,0.758017,,9.25e-05,0.758061
9.35e-05,0.762253,,9.35e-05,0.757673,,9.35e-05,0.757928,,9.35e-05,0.758016,,9.35e-05,0.758061
9.45e-05,0.762604,,9.45e-05,0.757673,,9.45e-05,0.757928,,9.45e-05,0.758016,,9.45e-05,0.758061
9.5e-05,0.762779,,9.5e-05,0.757673,,9.5e-05,0.757928,,9.5e-05,0.758016,,9.5e-05,0.758061
9.51e-05,0.762814,,9.51e-05,0.757673,,9.51e-05,0.757928,,9.51e-05,0.758016,,9.51e-05,0.758061
9.53e-05,0.762883,,9.53e-05,0.757673,,9.53e-05,0.757928,,9.53e-05,0.758016,,9.53e-05,0.758061
9.57e-05,0.763023,,9.57e-05,0.757674,,9.57e-05,0.757928,,9.57e-05,0.758016,,9.57e-05,0.758061
9.65e-05,0.763302,,9.65e-05,0.757674,,9.65e-05,0.757928,,9.65e-05,0.758016,,9.65e-05,0.758061
9.75e-05,0.76365,,9.75e-05,0.757675,,9.75e-05,0.757928,,9.75e-05,0.758016,,9.75e-05,0.758061
9.85e-05,0.763997,,9.85e-05,0.757677,,9.85e-05,0.757929,,9.85e-05,0.758017,,9.85e-05,0.758061
9.95e-05,0.764344,,9.95e-05,0.757679,,9.95e-05,0.75793,,9.95e-05,0.758017,,9.95e-05,0.758061
0.0001,0.764517,,0.0001,0.75768,,0.0001,0.75793,,0.0001,0.758017,,0.0001,0.758062
0.0001001,0.764552,,0.0001001,0.75768,,0.0001001,0.75793,,0.0001001,0.758017,,0.0001001,0.758062
0.0001003,0.764621,,0.0001003,0.757681,,0.0001003,0.757931,,0.0001003,0.758018,,0.0001003,0.758062
0.0001007,0.76476,,0.0001007,0.757682,,0.0001007,0.757931,,0.0001007,0.758018,,0.0001007,0.758062
0.0001015,0.765041,,0.0001015,0.757684,,0.0001015,0.757932,,0.0001015,0.758018,,0.0001015,0.758062
0.0001025,0.765396,,0.0001025,0.757688,,0.0001025,0.757933,,0.0001025,0.758019,,0.0001025,0.758063
0.0001035,0.765756,,0.0001035,0.757691,,0.0001035,0.757935,,0.0001035,0.75802,,0.0001035,0.758064
0.0001045,0.76612,,0.0001045,0.757696,,0.0001045,0.757937,,0.0001045,0.758022,,0.0001045,0.758065
0.000105,0.766304,,0.000105,0.757698,,0.000105,0.757938,,0.000105,0.758022,,0.000105,0.758065
0.0001051,0.766341,,0.0001051,0.757698,,0.0001051,0.757938,,0.0001051,0.758023,,0.0001051,0.758065
0.0001053,0.766415,,0.0001053,0.757699,,0.0001053,0.757939,,0.0001053,0.758023,,0.0001053,0.758066
0.0001057,0.766563,,0.0001057,0.757701,,0.0001057,0.75794,,0.0001057,0.758023,,0.0001057,0.758066
0.0001065,0.766862,,0.0001065,0.757706,,0.0001065,0.757942,,0.0001065,0.758025,,0.0001065,0.758067
0.0001075,0.767239,,0.0001075,0.757712,,0.0001075,0.757944,,0.0001075,0.758026,,0.0001075,0.758068
0.0001085,0.767621,,0.0001085,0.757718,,0.0001085,0.757947,,0.0001085,0.758028,,0.0001085,0.75807
0.0001095,0.768007,,0.0001095,0.757725,,0.0001095,0.75795,,0.0001095,0.75803,,0.0001095,0.758071
0.00011,0.768201,,0.00011,0.757728,,0.00011,0.757952,,0.00011,0.758031,,0.00011,0.758072
0.0001101,0.76824,,0.0001101,0.757729,,0.0001101,0.757952,,0.0001101,0.758032,,0.0001101,0.758072
0.0001103,0.768318,,0.0001103,0.757731,,0.0001103,0.757953,,0.0001103,0.758032,,0.0001103,0.758073
0.0001107,0.768475,,0.0001107,0.757734,,0.0001107,0.757955,,0.0001107,0.758033,,0.0001107,0.758073
0.0001115,0.768791,,0.0001115,0.75774,,0.0001115,0.757958,,0.0001115,0.758035,,0.0001115,0.758075
0.0001125,0.769189,,0.0001125,0.757748,,0.0001125,0.757962,,0.0001125,0.758038,,0.0001125,0.758077
0.0001135,0.769591,,0.0001135,0.757758,,0.0001135,0.757966,,0.0001135,0.75804,,0.0001135,0.758079
0.0001145,0.769997,,0.0001145,0.757767,,0.0001145,0.757971,,0.0001145,0.758043,,0.0001145,0.758081
0.000115,0.770201,,0.000115,0.757772,,0.000115,0.757973,,0.000115,0.758045,,0.000115,0.758082
0.0001151,0.770242,,0.0001151,0.757773,,0.0001151,0.757973,,0.0001151,0.758045,,0.0001151,0.758082
0.0001153,0.770324,,0.0001153,0.757775,,0.0001153,0.757974,,0.0001153,0.758046,,0.0001153,0.758083
0.0001157,0.770489,,0.0001157,0.757779,,0.0001157,0.757976,,0.0001157,0.758047,,0.0001157,0.758084
0.0001165,0.77082,,0.0001165,0.757788,,0.0001165,0.757981,,0.0001165,0.75805,,0.0001165,0.758086
0.0001175,0.771238,,0.0001175,0.7578,,0.0001175,0.757986,,0.0001175,0.758054,,0.0001175,0.758089
0.0001185,0.771659,,0.0001185,0.757812,,0.0001185,0.757992,,0.0001185,0.758057,,0.0001185,0.758091
0.0001195,0.772084,,0.0001195,0.757824,,0.0001195,0.757998,,0.0001195,0.758062,,0.0001195,0.758094
0.00012,0.772298,,0.00012,0.757831,,0.00012,0.758001,,0.00012,0.758064,,0.00012,0.758096
0.0001201,0.77234,,0.0001201,0.757832,,0.0001201,0.758002,,0.0001201,0.758064,,0.0001201,0.758096
