X--Kurve 1::[P(U1) | P(TK6)],Y--Kurve 1::[P(U1) | P(TK6)]
0.00250115,4.58794
0.00250346,4.58518
0.00250807,4.57968
0.00251729,4.56872
0.00252,4.56554
0.00252184,4.58681
0.00252553,4.62985
0.00253291,4.71775
0.00254,4.80673
0.00254148,4.81959
0.00254443,4.84211
0.00255033,4.88762
0.00256,4.96384
0.00256118,4.9554
0.00256354,4.93621
0.00256826,4.89818
0.00257771,4.82341
0.00258,4.80688
0.00258189,4.81566
0.00258567,4.83318
0.00259322,4.86851
0.0026,4.90086
0.00260151,4.89698
0.00260453,4.88879
0.00261058,4.87247
0.00262267,4.84008
0.00263,4.82088
0.002632,4.82656
0.002636,4.8378
0.002644,4.8604
0.00265,4.87758
0.0026516,4.87907
0.0026548,4.88194
0.0026612,4.88767
0.00267,4.89557
0.00267128,4.90493
0.00267384,4.92369
0.00267896,4.96157
0.00268408,5.00024
0.00269,5.04562
0.00269102,5.04854
0.00269307,5.05354
0.00269717,5.06357
0.00270536,5.08373
0.00271,5.0953
0.00271164,5.07008
0.00271492,5.02021
0.00272147,4.92267
0.00273,4.80181
0.00273131,4.79893
0.00273393,4.78731
0.00273918,4.76421
0.00274442,4.74142
0.00275,4.71737
0.00275105,4.71646
0.00275315,4.71438
0.00275734,4.71024
0.00276573,4.70197
0.00277,4.69778
0.00277168,4.69034
0.00277503,4.67552
0.00278174,4.64608
0.00279,4.61045
0.00279134,4.61964
0.00279403,4.63755
0.0027994,4.6737
0.00281,4.74636
0.00281107,4.73984
0.00281322,4.72458
0.00281752,4.69428
0.00282611,4.63454
0.00283,4.60881
0.00283172,4.591
0.00283515,4.55543
0.00284203,4.48553
0.00285,4.40763
0.00285137,4.42163
0.00285412,4.44716
0.00285962,4.49885
0.00287,4.59906
0.0028711,4.60125
0.0028733,4.60107
0.0028777,4.60073
0.00288649,4.60004
0.0029,4.59899
0.00290176,4.57727
0.00290528,4.53433
0.00291231,4.45027
0.00292,4.36292
0.00292141,4.36755
0.00292422,4.37341
0.00292985,4.38517
0.00294,4.40649
0.00294113,4.41769
0.00294338,4.44005
0.00294788,4.48525
0.00295689,4.57775
0.00296,4.61282
0.0029618,4.57629
0.0029654,4.50419
0.00297261,4.36502
0.00298,4.234
0.00298144,4.23136
0.00298432,4.21822
0.00299009,4.19216
0.003,4.14797
0.00300115,4.14547
0.00300346,4.13954
0.00300807,4.12773
0.00301729,4.10425
0.00302,4.09757
0.00302184,4.10062
0.00302553,4.10672
0.00303291,4.11895
0.00304,4.13079
0.00304148,4.15177
0.00304443,4.1942
0.00305033,4.28102
0.00306,4.43564
0.00306118,4.42598
0.00306354,4.40678
0.00306826,4.36876
0.00307771,4.29416
0.00308,4.27785
0.00308189,4.27098
0.00308567,4.25715
0.00309322,4.2297
0.0031,4.20553
0.00310151,4.1989
0.00310453,4.18541
0.00311058,4.15863
0.00312267,4.10583
0.00313,4.07517
0.003132,4.08588
0.003136,4.10697
0.003144,4.14964
0.00315,4.18268
0.0031516,4.1838
0.0031548,4.18553
0.0031612,4.18898
0.00317,4.19375
0.00317128,4.18158
0.00317384,4.15744
0.00317896,4.10976
0.00318408,4.06358
0.00319,4.01127
0.00319102,4.01375
0.00319307,4.01737
0.00319717,4.02462
0.00320536,4.03919
0.00321,4.04755
0.00321164,4.03059
0.00321492,3.99698
0.00322147,3.93103
0.00323,3.84868
0.00323131,3.85304
0.00323393,3.85834
0.00323918,3.86898
0.00324442,3.87969
0.00325,3.89116
0.00325105,3.89664
0.00325315,3.90758
0.00325734,3.9296
0.00326573,3.97419
0.00327,3.99786
0.00327168,3.98928
0.00327503,3.97194
0.00328174,3.93759
0.00329,3.89628
0.00329134,3.89204
0.00329403,3.88275
0.0032994,3.86427
0.00331,3.82815
0.00331107,3.83431
0.00331322,3.84602
0.00331752,3.86958
0.00332611,3.91736
0.00333,3.94009
0.00333172,3.95164
0.00333515,3.97465
0.00334203,4.02128
0.00335,4.07706
0.00335137,4.07677
0.00335412,4.07465
0.00335962,4.07041
0.00337,4.06243
0.0033711,4.06197
0.0033733,4.06102
0.0033777,4.05912
0.00338649,4.05532
0.0034,4.0495
0.00340176,4.02738
0.00340528,3.98373
0.00341231,3.89854
0.00342,3.8107
0.00342141,3.82022
0.00342422,3.8354
0.00342985,3.86601
0.00344,3.92223
0.00344113,3.92888
0.00344338,3.94059
0.00344788,3.96416
0.00345689,4.01194
0.00346,4.02937
0.0034618,4.01291
0.0034654,3.98016
0.00347261,3.91586
0.00348,3.85278
0.00348144,3.84473
0.00348432,3.82671
0.00349009,3.79104
0.0035,3.73104
0.00350115,3.73065
0.00350346,3.72797
0.00350807,3.72264
0.00351729,3.71202
0.00352,3.70894
0.00352184,3.72001
0.00352553,3.74231
0.00353291,3.78752
0.00354,3.83242
0.00354148,3.83961
0.00354443,3.85298
0.00355033,3.87992
0.00356,3.92478
0.00356118,3.94016
0.00356354,3.97018
0.00356826,4.03123
0.00357771,4.15764
0.00358,4.19409
0.00358189,4.2142
0.00358567,4.2543
0.00359322,4.33626
0.0036,4.41389
0.00360151,4.40193
0.00360453,4.3754
0.00361058,4.32308
0.00362267,4.22124
0.00363,4.16431
0.003632,4.14861
0.003636,4.11596
0.003644,4.05179
0.00365,4.00595
0.0036516,3.99476
0.0036548,3.97147
0.0036612,3.92553
0.00367,3.86414
0.00367128,3.86056
0.00367384,3.85153
0.00367896,3.83356
0.00368408,3.81581
0.00369,3.79547
0.00369102,3.79606
0.00369307,3.79701
0.00369717,3.79893
0.00370536,3.80276
0.00371,3.80494
0.00371164,3.80446
0.00371492,3.80349
0.00372147,3.80156
0.00373,3.79905
0.00373131,3.80598
0.00373393,3.81989
0.00373918,3.84794
0.00374442,3.87655
0.00375,3.90748
0.00375105,3.90686
0.00375315,3.90511
0.00375734,3.90163
0.00376573,3.8947
0.00377,3.89119
0.00377168,3.90017
0.00377503,3.91824
0.00378174,3.95475
0.00379,4.00075
0.00379134,3.99247
0.00379403,3.97493
0.0037994,3.94021
0.00381,3.87296
0.00381107,3.8715
0.00381322,3.86633
0.00381752,3.856
0.00382611,3.83549
0.00383,3.82638
0.00383172,3.83432
0.00383515,3.85024
0.00384203,3.88238
0.00385,3.92048
0.00385137,3.89678
0.00385412,3.84935
0.00385962,3.75705
0.00387,3.59915
0.0038711,3.59373
0.0038733,3.58293
0.0038777,3.56146
0.00388649,3.51911
0.0039,3.45591
0.00390176,3.46204
0.00390528,3.47208
0.00391231,3.49232
0.00392,3.51476
0.00392141,3.51755
0.00392422,3.52284
0.00392985,3.53346
0.00394,3.55275
0.00394113,3.56084
0.00394338,3.57689
0.00394788,3.60932
0.00395689,3.67553
0.00396,3.70038
0.0039618,3.70186
0.0039654,3.7045
0.00397261,3.7098
0.00398,3.71526
0.00398144,3.71778
0.00398432,3.72283
0.00399009,3.73296
0.004,3.75048
0.00400115,3.75969
0.00400346,3.77805
0.00400807,3.81517
0.00401729,3.89108
0.00402,3.91568
0.00402184,3.93126
0.00402553,3.96244
0.00403291,4.02593
0.00404,4.08968
0.00404148,4.0875
0.00404443,4.08114
0.00405033,4.06846
0.00406,4.04785
0.00406118,4.04593
0.00406354,4.0419
0.00406826,4.03386
0.00407771,4.01784
0.00408,4.01404
0.00408189,4.01385
0.00408567,4.01345
0.00409322,4.01266
0.0041,4.01194
0.00410151,4.00575
0.00410453,3.99342
0.00411058,3.96892
0.00412267,3.9206
0.00413,3.89249
0.004132,3.90307
0.004136,3.92396
0.004144,3.96627
0.00415,3.99906
