"X--Kurve 1::[-I(R1:2), cc1 capacitance=0 | I(TK1)]","Y--Kurve 1::[-I(R1:2), cc1 capacitance=0 | I(TK1)]",,"X--Kurve 2::[-I(R1:2), cc1 capacitance=0.00016 | I(TK1)]","Y--Kurve 2::[-I(R1:2), cc1 capacitance=0.00016 | I(TK1)]",,"X--Kurve 3::[-I(R1:2), cc1 capacitance=0.00032 | I(TK1)]","Y--Kurve 3::[-I(R1:2), cc1 capacitance=0.00032 | I(TK1)]",,"X--Kurve 4::[-I(R1:2), cc1 capacitance=0.00048 | I(TK1)]","Y--Kurve 4::[-I(R1:2), cc1 capacitance=0.00048 | I(TK1)]",,"X--Kurve 5::[-I(R1:2), cc1 capacitance=0.0005 | I(TK1)]","Y--Kurve 5::[-I(R1:2), cc1 capacitance=0.0005 | I(TK1)]"
0.000826106,0.915065,,0.000826106,0.899674,,0.000826106,0.902162,,0.000826106,0.903743,,0.000826106,0.903893
0.00083,0.9241,,0.00083,0.903364,,0.00083,0.903855,,0.00083,0.904786,,0.00083,0.904886
0.000831718,0.921727,,0.000831718,0.904883,,0.000831718,0.904626,,0.000831718,0.90528,,0.000831718,0.905358
0.000835154,0.916839,,0.000835154,0.907264,,0.000835154,0.90589,,0.000835154,0.906097,,0.000835154,0.906139
0.000842026,0.907181,,0.000842026,0.908714,,0.000842026,0.906902,,0.000842026,0.906768,,0.000842026,0.906779
0.00085,0.89628,,0.00085,0.906298,,0.00085,0.905922,,0.00085,0.906111,,0.00085,0.906146
0.000851374,0.895682,,0.000851374,0.905584,,0.000851374,0.905566,,0.000851374,0.905866,,0.000851374,0.90591
0.000854123,0.894229,,0.000854123,0.904154,,0.000854123,0.904828,,0.000854123,0.905354,,0.000854123,0.905416
0.000859621,0.891333,,0.000859621,0.901288,,0.000859621,0.903207,,0.000859621,0.904201,,0.000859621,0.904301
0.000870616,0.885583,,0.000870616,0.895544,,0.000870616,0.89949,,0.000870616,0.90144,,0.000870616,0.901624
0.00088,0.880767,,0.00088,0.890658,,0.00088,0.895914,,0.00088,0.89867,,0.00088,0.89893
0.000882,0.879085,,0.000882,0.889559,,0.000882,0.895076,,0.000882,0.898008,,0.000882,0.898286
0.000886,0.875685,,0.000886,0.887248,,0.000886,0.893312,,0.000886,0.896615,,0.000886,0.896928
0.000894,0.868943,,0.000894,0.882068,,0.000894,0.889325,,0.000894,0.893438,,0.000894,0.893831
0.0009,0.864006,,0.0009,0.877828,,0.0009,0.885992,,0.0009,0.890751,,0.0009,0.891208
0.0009016,0.865232,,0.0009016,0.876853,,0.0009016,0.885156,,0.0009016,0.890056,,0.0009016,0.890529
0.0009048,0.867636,,0.0009048,0.87524,,0.0009048,0.883648,,0.0009048,0.888771,,0.0009048,0.889269
0.0009112,0.872475,,0.0009112,0.87375,,0.0009112,0.881544,,0.0009112,0.886788,,0.0009112,0.88731
0.00092,0.87922,,0.00092,0.874536,,0.00092,0.880365,,0.00092,0.885225,,0.00092,0.885733
0.00092128,0.880143,,0.00092128,0.874889,,0.00092128,0.880358,,0.00092128,0.885113,,0.00092128,0.885616
0.00092384,0.88189,,0.00092384,0.87566,,0.00092384,0.8804,,0.00092384,0.884934,,0.00092384,0.885422
0.00092896,0.885399,,0.00092896,0.877551,,0.00092896,0.880809,,0.00092896,0.884824,,0.00092896,0.885276
0.00093408,0.888947,,0.00093408,0.879829,,0.00093408,0.88161,,0.00093408,0.885025,,0.00093408,0.885432
0.00094,0.893079,,0.00094,0.882835,,0.00094,0.882964,,0.00094,0.885614,,0.00094,0.885961
0.000941024,0.894009,,0.000941024,0.883405,,0.000941024,0.883253,,0.000941024,0.885762,,0.000941024,0.886097
0.000943072,0.895833,,0.000943072,0.884579,,0.000943072,0.883864,,0.000943072,0.886084,,0.000943072,0.886395
0.000947168,0.899499,,0.000947168,0.887118,,0.000947168,0.885271,,0.000947168,0.886885,,0.000947168,0.887144
0.00095536,0.906899,,0.00095536,0.892807,,0.00095536,0.88875,,0.00095536,0.889066,,0.00095536,0.88921
0.00096,0.911212,,0.00096,0.896333,,0.00096,0.891079,,0.00096,0.890625,,0.00096,0.890698
